Coder,Participant,Overal,Turn 1,Turn 2,Turn 3,Turn 4,Turn 5,Turn 6,Turn 7,Turn 8,Turn 9,Turn 10,Turn 11,Turn 12,Turn 13,Turn 14,Turn 15,Turn 16,Turn 17,Turn 18,Turn 19,Turn 20,Turn 21,Turn 22,Turn 23,Turn 24,Turn 25,Turn 26,Turn 27,Turn 28,Turn 29
Annot2,10,4,3,4,3,4,4,4,4,4,4,4,3,4,2,2,3,1,3,3,3,3,3,,,,,,,,
Annot2,11,4,3,3,3,4,4,3,4,3,5,4,3,4,5,4,3,4,4,3,3,4,4,3,2,3,4,4,4,,
Annot2,13,2,3,3,3,2,3,3,3,3,3,3,2,3,3,3,1,1,2,1,2,2,3,3,3,3,2,2,,,
Annot2,15,4,3,3,3,3,3,2,4,5,4,3,3,4,4,4,4,4,3,3,2,2,2,4,4,5,3,4,,,
Annot2,16,2,2,3,4,4,4,3,3,3,2,3,3,4,4,2,3,2,3,2,3,3,2,2,,,,,,,
Annot2,17,3,3,4,4,4,3,3,4,3,3,3,4,2,3,2,3,3,3,3,4,4,,,,,,,,,
Annot2,18,3,4,3,2,3,2,3,3,3,4,4,4,4,3,3,2,3,3,3,3,3,2,2,,,,,,,
Annot2,19,3,3,3,3,3,3,4,2,2,3,3,3,3,2,3,3,2,3,3,3,2,3,3,3,,,,,,
Annot2,21,3,3,3,3,3,2,3,3,3,4,4,4,3,,,,,,,,,,,,,,,,,
Annot2,22,3,4,3,3,4,4,4,3,3,2,3,3,3,3,3,5,4,3,3,4,3,2,3,2,3,3,,,,
Annot2,23,3,3,3,4,3,4,3,3,3,2,3,3,3,3,3,4,4,3,3,3,3,4,2,,,,,,,
Annot2,25,5,3,4,4,4,3,4,3,4,4,4,4,5,5,4,4,5,4,5,4,3,4,5,4,5,4,4,4,,
Annot2,27,4,3,3,3,3,3,3,2,3,3,4,4,3,3,4,4,4,5,4,3,5,4,4,4,4,4,4,5,4,4
Annot2,28,4,3,4,4,4,4,3,2,3,4,4,5,4,3,4,,,,,,,,,,,,,,,
Annot2,29,4,3,3,3,4,3,2,3,3,4,3,4,5,3,3,4,4,4,3,2,4,4,3,3,4,4,4,4,,
Annot2,30,2,4,4,3,3,3,3,2,2,3,2,2,3,3,3,2,3,1,1,2,2,3,3,3,2,1,1,,,
Annot2,31,3,2,2,3,4,3,2,3,3,3,3,3,3,2,3,3,1,3,3,3,2,2,3,3,2,,,,,
Annot2,32,3,3,4,4,4,4,4,4,2,1,2,3,3,3,3,3,3,3,3,4,4,3,2,3,4,,,,,
Annot3,1,2,3,4,4,3,3,3,4,3,3,3,3,3,3,3,2,2,2,1,,,,,,,,,,,
Annot3,2,5,3,3,4,4,4,5,5,4,5,4,4,5,4,3,3,3,4,5,4,4,4,4,4,3,,,,,
Annot3,3,1,3,1,1,2,3,4,4,1,2,2,1,1,1,2,2,2,1,2,2,2,3,2,2,3,2,3,3,,
Annot3,5,4,3,4,4,4,3,4,2,3,3,4,4,3,3,2,3,3,3,4,3,3,2,3,4,4,3,,,,
Annot3,6,2,3,4,3,3,3,4,4,4,3,2,4,5,3,4,2,3,3,2,3,4,4,3,2,2,4,3,,,
Annot3,7,5,3,3,4,4,4,5,5,4,5,4,5,4,4,4,4,5,5,4,4,4,5,4,4,4,4,4,4,,
Annot3,9,2,3,3,4,3,4,4,2,1,2,2,2,2,3,2,2,2,3,3,3,3,3,3,3,3,3,3,,,
Annot3,10,2,4,4,3,3,4,5,3,3,3,3,3,2,2,2,2,1,1,2,2,2,3,,,,,,,,
Annot3,11,4,3,3,4,3,3,4,4,3,4,4,4,4,5,4,3,4,4,3,4,3,4,3,2,3,3,3,3,,
Annot3,13,1,3,3,3,2,2,2,3,3,2,3,3,2,2,2,2,1,2,1,2,1,3,3,2,2,2,3,,,
Annot3,15,4,3,4,3,3,3,3,4,5,4,4,4,4,4,4,3,3,2,3,2,3,2,3,3,4,4,4,,,
Annot3,16,3,2,4,3,3,4,4,4,5,5,4,4,5,4,3,4,4,4,2,2,3,3,2,,,,,,,
Annot3,17,4,3,4,5,5,4,4,4,3,4,4,4,2,3,2,3,3,3,3,4,4,,,,,,,,,
Annot3,18,2,3,2,2,2,2,3,2,3,4,4,5,3,3,3,3,2,3,3,3,3,3,2,,,,,,,
Annot3,19,2,3,3,4,3,3,4,2,2,3,2,2,2,1,2,3,2,2,3,3,1,3,4,4,,,,,,
Annot3,21,4,3,3,3,4,2,3,4,3,4,3,4,2,,,,,,,,,,,,,,,,,
Annot3,22,2,3,3,4,3,2,3,3,4,2,4,3,3,3,2,4,3,3,2,3,3,2,3,3,3,4,,,,
Annot3,23,3,3,4,3,4,3,2,3,3,1,1,2,3,4,4,3,4,3,3,4,4,5,3,,,,,,,
Annot3,25,4,3,3,3,3,3,4,3,4,3,4,3,4,5,4,4,5,4,4,3,2,3,3,3,4,3,3,3,,
Annot3,27,4,3,3,3,3,3,4,2,4,4,4,4,2,2,3,3,3,4,3,4,5,5,4,4,3,4,4,4,4,4
Annot3,28,4,3,4,4,4,4,4,2,3,4,3,3,2,1,3,,,,,,,,,,,,,,,
Annot3,29,4,3,3,4,4,4,2,4,3,3,3,4,2,3,2,4,4,4,4,2,4,4,3,4,4,5,5,4,,
Annot3,30,1,3,3,3,3,4,3,3,2,3,2,1,1,2,2,2,3,1,1,2,1,2,2,3,2,2,2,,,
Annot3,31,3,3,2,4,4,3,2,3,3,4,2,3,4,3,5,3,1,2,4,3,1,2,2,2,3,,,,,
Annot3,32,3,3,2,3,3,4,5,4,3,2,3,1,3,3,3,4,3,3,2,3,3,2,3,2,3,,,,,
